# Pathway	PD_10_HC_Abundance	PD_10_PC_Abundance	PD_10_Abundance	PD_11_HC_Abundance	PD_11_PC_Abundance	PD_11_Abundance	PD_12_HC_Abundance	PD_12_PC_Abundance	PD_12_Abundance	PD_13_HC_Abundance	PD_13_PC_Abundance	PD_13_Abundance	PD_14_HC_Abundance	PD_14_PC_Abundance	PD_14_Abundance	PD_15_HC_Abundance	PD_15_PC_Abundance	PD_15_Abundance	PD_16_HC_Abundance	PD_16_PC_Abundance	PD_16_Abundance	PD_17_HC_Abundance	PD_17_PC_Abundance	PD_17_Abundance	PD_18_HC_Abundance	PD_18_PC_Abundance	PD_18_Abundance	PD_19_HC_Abundance	PD_19_PC_Abundance	PD_19_Abundance	PD_1_HC_Abundance	PD_1_PC_Abundance	PD_1_Abundance	PD_20_HC_Abundance	PD_20_PC_Abundance	PD_20_Abundance	PD_21_HC_Abundance	PD_21_PC_Abundance	PD_21_Abundance	PD_22_HC_Abundance	PD_22_PC_Abundance	PD_22_Abundance	PD_23_HC_Abundance	PD_23_PC_Abundance	PD_23_Abundance	PD_24_HC_Abundance	PD_24_PC_Abundance	PD_24_Abundance	PD_25_HC_Abundance	PD_25_PC_Abundance	PD_25_Abundance	PD_26_HC_Abundance	PD_26_PC_Abundance	PD_26_Abundance	PD_27_HC_Abundance	PD_27_PC_Abundance	PD_27_Abundance	PD_28_HC_Abundance	PD_28_PC_Abundance	PD_28_Abundance	PD_29_HC_Abundance	PD_29_PC_Abundance	PD_29_Abundance	PD_2_HC_Abundance	PD_2_PC_Abundance	PD_2_Abundance	PD_30_PC_Abundance	PD_30_Abundance	PD_31_PC_Abundance	PD_31_Abundance	PD_32_PC_Abundance	PD_32_Abundance	PD_33_PC_Abundance	PD_33_Abundance	PD_34_PC_Abundance	PD_34_Abundance	PD_35_PC_Abundance	PD_35_Abundance	PD_36_PC_Abundance	PD_36_Abundance	PD_37_PC_Abundance	PD_37_Abundance	PD_38_PC_Abundance	PD_38_Abundance	PD_39_PC_Abundance	PD_39_Abundance	PD_3_HC_Abundance	PD_3_PC_Abundance	PD_3_Abundance	PD_40_PC_Abundance	PD_40_Abundance	PD_41_PC_Abundance	PD_41_Abundance	PD_42_Abundance	PD_43_Abundance	PD_44_Abundance	PD_45_Abundance	PD_46_Abundance	PD_47_Abundance	PD_48_Abundance	PD_4_HC_Abundance	PD_4_PC_Abundance	PD_4_Abundance	PD_5_HC_Abundance	PD_5_PC_Abundance	PD_5_Abundance	PD_6_HC_Abundance	PD_6_PC_Abundance	PD_6_Abundance	PD_7_HC_Abundance	PD_7_PC_Abundance	PD_7_Abundance	PD_8_HC_Abundance	PD_8_PC_Abundance	PD_8_Abundance	PD_9_HC_Abundance	PD_9_PC_Abundance	PD_9_Abundance
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0.000168338	0	0.000106491	0.00024196	0.000120306	0	6.17376e-05	0	0	5.22896e-05	0	3.15774e-05	0.000308606	4.64838e-05	9.9792e-05	0	0	5.80271e-05	0	0	4.66822e-05	9.52503e-05	5.76387e-05	0	4.46667e-05	4.49827e-05	0.00015057	0	0	0	0	0	0	0.000172029	0	0.000120397	0	0	0	4.88548e-05	0.000113204	2.78484e-05	4.63827e-05	0	0	0	2.93132e-05	0.000167822	0	8.55445e-05	0	0	0	0.000248715	0	0	5.78852e-05	0	0	0	0	0	6.0643e-05	0.000723757	0	3.59009e-05	0.000122254	2.53914e-05	6.85809e-05	0	0.000219981	0	0.000340126	0	0.000448043	0.000724339	0.000117146	0	0	0.000608412	0.000375109	0.000492623	0	5.10738e-05	0	0	8.30152e-05	0.000145912	5.54508e-05	0.000164425	0.00191255	3.84973e-05	0.0001523	0.0010458	0	0.00051799	0	0	0.000121334	0.000138415	5.1912e-05	0	9.5838e-05	0	0	7.12922e-05	4.57742e-05	0	0	0	0	0	0	0	3.57364e-05	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Ruminococcus_obeum	0	7.13991e-05	0	0	2.19998e-05	0	4.30857e-05	0	0.000224722	3.35958e-05	0	0	0	0	6.50785e-05	0.000108807	6.17266e-05	0	0.000105218	7.48224e-05	0	0	0	0	0	0	2.76523e-05	0	1.22048e-05	2.67693e-05	0	0	3.13963e-05	0	0	5.71201e-05	0	0	3.43492e-05	0	5.85562e-05	3.2818e-05	0	1.36482e-05	0	0.000177577	0	1.35704e-05	2.90818e-05	2.75126e-05	0	7.34945e-05	8.7709e-05	0.000122851	3.37067e-05	0	0.000263981	0	0	0	1.78113e-05	0	0	6.83655e-05	0	0.000326593	0	2.50755e-05	0	3.92087e-05	4.75609e-05	4.91763e-05	5.16934e-05	0	0	0	0.000204127	0.000239878	1.56372e-05	0.000186738	6.52956e-05	0	6.16239e-05	0	0	2.95414e-05	0	0	0.000221169	9.87059e-05	0.000113159	0.000454486	9.33705e-06	1.75233e-05	7.57363e-05	0.000249517	0	0.000341659	6.59369e-05	4.45267e-05	0	0	0	0.000100727	0	5.83443e-05	1.3927e-05	0	2.40811e-05	2.07139e-05	1.51518e-05	0	6.65541e-05	0	0	3.87753e-05	3.15957e-05	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Citrobacter.s__Citrobacter_freundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000609478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.55559e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29356e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.95508e-06	0	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Coprococcus.s__Coprococcus_catus	0	0	1.93746e-05	0	0	0	0	0	0	0	0	0	0	0	3.83078e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52158e-05	0	0	0	0	0	0	2.08966e-05	0	0	0	0	0	0	0	0	0	0	1.02774e-05	0	0	0	0	0	0	0	0	0	1.94252e-05	3.17935e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23277e-05	1.16789e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4202e-05	0	0	4.84462e-05	0	0	0.000125512	9.44278e-06	0	0	0	0	0	1.33118e-05	0	0	0	0	0	0	0	0	0	0	0	2.53518e-05	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Coprococcus.s__Coprococcus_eutactus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.57213e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00121935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.657e-05	0.000389875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Coprococcus.s__Coprococcus_sp_ART55_1	0	0.00130814	0	0	0	0	3.46719e-05	0	0	0	0	0.000404128	0	0	0	0	0	0	0	0	0	0.000477888	0	0	0	0.000131889	0	0	0	0	0	0	0	0.00134331	0	0	0	0	0	0	0	0	0	0.000248641	0	0	0.000339014	0	0.00117981	0	0	0	0.000159583	0	0	0	0	0	0	0	0	0	0	0	0	0.000190673	0	0	0	0	0	0	0	0	0.0019587	0	0	0	0	0	0	0	0	0	0	0.00121177	0	0	0	0.00111917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000450599	0	6.73292e-05	0	0	0	0	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Enterobacter.s__Enterobacter_aerogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.73159e-05	0	0	0	0	0	0	0	0	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.40131e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.60764e-05	0	0	0	0	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Enterococcus.s__Enterococcus_casseliflavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.88198e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	0	0	0	0	0	0	4.3937e-05	0	0	2.22734e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000229765	0.000336548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000320348	0	0	0	0	0	0	0	0	0	0	0	0.000246315	0	0	0	0	0	2.02405e-05	2.16301e-05	0	0	0	0.000332436	0	0	0	0	0.000189883	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68127e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.04415e-05	0	6.47165e-05	0	0	0.000209889	0	0	0	0	0	0.000272532	7.86391e-05	0	0	0	0	7.31874e-05	2.53003e-05	0	0	0	0	0	0	0	0	4.71492e-05	0	1.74229e-05	0	0	0	0.000147044	0	0	0	0	0	0	0	0	5.94373e-05	0	0	0	0.000149904	0	0	0	0	0	5.65235e-05	1.5658e-05	0	0	0	1.88985e-05	0	0	0	0	0	0	0	2.60973e-05	0	0	0	7.5164e-05	0	0	0	0	2.68348e-05	0.000723179
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eubacterium.s__Eubacterium_rectale	0.00015908	0.000233363	0.000217441	0.000139179	0.000708328	0.000393522	0.00064857	0.000164979	0	0.000845545	0	0.000626894	0.000644629	0	0.000209548	0.00203305	0.000275459	0.000502509	0.00028934	0.000368087	0	0	0.00201796	0.000433231	0.000824138	0	7.95815e-05	0.00163405	0.000366101	0.000688254	0.00208271	0.000555056	0.000495708	0.000186163	0.00132494	0	3.87935e-05	0.00061661	0.000444073	0.000142949	0.000332709	0.000174563	3.50743e-05	0.000521561	5.14018e-05	0	0.000671877	0	0.000330426	0.000678599	0	0.000141062	0.00014	1.76898e-05	7.65993e-05	0	0	0	0	0	0.000262957	4.3264e-05	0	0.000257718	0.000599372	0	0	0.000771319	0.000249413	0	0.000258539	0	0.000766209	0.00032671	0.000335674	0	0.000190578	3.75994e-05	0.000224632	0	0.000821065	0.000792559	0.000696122	0.000257761	0.00138493	0.000152674	0.000748003	0	0.0004083	0	0.00029121	0.000173366	0.00195245	0.00294804	0.000254353	0.000512427	0.00153184	0.000261639	0.000860919	0	0.000788526	0.00389544	0	0	0.00115026	9.94417e-05	0.000236877	4.7682e-05	0.000369068	0.000352709	0.000418189	7.97288e-05	0.000493431	0.00125392	0.000124826	0.00123556	7.48229e-05	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eubacterium.s__Eubacterium_siraeum	0	0	0	2.81928e-05	0	0	0	0	0	0.00137936	0	0.00150702	0.00105082	0	0	6.23625e-05	0	0	0.000159997	0.00155428	0	0	0	0.000180071	4.06852e-05	0.00148974	0.000116052	0	0.000209151	0.000254738	0	0.000694983	0.0021049	0.00110379	0.000348395	0.000264831	0.00186729	0	0	0.00268939	0	0	0.000197734	0	3.75614e-05	0.00113035	0	1.12788e-05	2.86469e-05	0	0	2.64428e-05	0	0	0.000967106	0	0	0.0023661	0	0	0.00166438	0	0	0.00142914	0	0	0.000391955	0.000383855	0	0.000182991	3.99338e-05	0	0	9.60502e-05	0	0	0	0.00027909	0.00126498	0	0	0	0	0	0	0	0	0	0	0	0	0.000649061	0	0.000454819	0.000143159	0.000705343	0	0	0	0.000443499	0.000311781	0.000108713	0	0	0.000267326	0.000106622	0.00114949	0.000229661	0.000103692	0.000289627	0.000664649	1.92868e-05	1.69634e-05	0	0	6.76566e-05	0.000418006	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Fusobacterium.s__Fusobacterium_mortiferum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000282062	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03632e-05	0	0	0	0	0	0	0	0	1.41502e-05	0	0	0	0	0	0	0	0	0	0	0	0	8.24157e-06	0	0	0	0	0	0	0	0	0	0	0	1.0772e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99574e-05	0	0	0	0	0	0	0	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000148638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47933e-05	0.000135889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00150013	0	0	0	0	0	2.43088e-05	0	0	0	0	0	0	0	0	0	0	0	2.61604e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5948e-05	2.27236e-05	0	1.25492e-05	0	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0	0	0.000141792	4.07717e-05	1.74789e-05	6.8427e-05	7.10316e-05	7.44676e-05	0	0	0	0	4.62095e-05	1.7735e-05	0.000203712	0	7.26436e-05	0.000127539	0.000216035	3.65285e-05	0	8.30484e-05	6.25096e-05	0	3.922e-05	0	2.86201e-05	1.5936e-05	4.60934e-05	0	0.000320989	0.000176636	0.000202242	4.97056e-05	4.05713e-05	0.000123945	0	0.000142031	0	3.91871e-05	0	0	3.74154e-05	2.00655e-05	0	0	3.36149e-05	0	0	0.000119919	0	7.89873e-05	6.98837e-05	0	0	0.000209148	0	0.000183198	1.5264e-05	1.71748e-05	0.000488482	5.47565e-05	0	1.78704e-05	2.08945e-05	0.000334043	0	3.24799e-05	7.09728e-05	1.69917e-05	4.10664e-05	0	0.000121176	0.00036895	0.000149447	0	0.000505127	0.000365326	0.00010537	0	0.000272433	8.33659e-05	0.000429001	0.00042708	0.00102246	0	0	0	1.7349e-05	7.08917e-05	0	0.000124234	0.000627691	4.9078e-05	5.77892e-05	0.000810287	0	0.000169728	0.000173967	0.0006739	5.55166e-05	6.64481e-05	0	0.000392716	3.65061e-05	0	0	6.07003e-05	6.16573e-05	0	0	0	4.56999e-05	0	0	0	4.60598e-05	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lactobacillus.s__Lactobacillus_casei_paracasei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24429e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lactobacillus.s__Lactobacillus_salivarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000370506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.1184e-05	0	0	0	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Proteus.s__Proteus_penneri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39218e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Roseburia.s__Roseburia_intestinalis	4.9196e-05	0.000681154	0	0	0	0	0	0	2.13694e-05	0.000252304	0	0	0.000229799	0.000219894	0	0	0	0	0	2.24306e-05	0	0.000196386	0	8.46449e-05	3.26958e-05	0	0	0	0.000729069	2.46803e-05	0	0	1.68232e-05	0	0.000169576	0.000114766	0	0	0	5.8063e-05	0	0	0	4.74204e-05	1.37036e-05	0	0.000328762	0	0	0.000175915	0	0	0	0	0	0	0.00020002	0	0	0	0	5.0401e-05	0	2.91038e-05	0.000112542	0	0.000195529	0	0	0	0	0	0.000149945	0	0	0	0	0	0	0	0.000120646	0	0	0	3.9551e-05	0	0.000148891	0	0	0.000185624	3.14899e-05	0	8.80109e-06	0	0.000119043	0.000123308	0.000304398	4.90765e-05	0.000247241	8.2209e-05	0	0	0	0	0	0	0.000177464	0	0	1.86196e-05	9.57306e-05	0	0.00014036	0	1.35572e-05	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|unclassified	0.00133677	0.000103607	0.000463904	0	0.000165077	0.000353615	0.000333934	0.00181198	0	0.000466534	0	0.000820585	0	0.000217697	0.000327027	0.000112725	0.000531346	0	0.000253911	0.000606706	0.00010325	0.00112662	0	0.000523702	0	0.000716751	0	0.000370103	0.000159106	0.000251279	0.000358275	0.00033098	0.000231337	0.000333665	0.00049289	0.00174549	0	0	0.000452212	0.000304153	0.000372329	0	0	0.000265074	0.000200718	0.000493243	0.00129868	0.000517765	0.000508762	0.000405467	0	0.000871871	0.000153281	0	0.00012851	0	0	9.78958e-05	0	0.00034456	0.000987065	0	0.000728806	0	0.000364446	0.000349586	0.000522479	0.00040397	0.000138625	0	0.000294265	0	0.000952801	0	0.000654451	0	0.00139141	0.000520696	0.000403305	0.00033663	0.000189935	0.000649427	0.000518655	0.00100028	0.000105979	0.000231258	0.000592921	0.000602069	0.000615264	0.000699756	0	0.000531675	0.000437596	0.000299929	0.000423761	0.00100129	0.000276092	0.00109211	0.000266977	0.000434861	9.22135e-05	0.000400097	0	0	0.000484232	0	0.000236944	0.000147333	0.000392381	8.22563e-05	0.000640675	0.000464535	0.000515886	0.000149248	0.000139273	0.000245232	0.000381957	0.00112596
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0	0	0	0	0	7.21631e-05	2.32622e-05	0	0	0	2.96536e-05	0	0	0	1.44854e-05	0	0	0	2.33381e-05	0	1.58605e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000173295	0	4.01807e-05	2.18141e-05	0	0.000405619	0	0	0	0	1.40872e-05	0.000278363	6.02907e-05	0	5.13234e-05	0	0	8.99521e-05	8.37184e-05	0	0.000730869	0	0	0	0	0	0	9.33105e-05	0	3.38494e-05	0	0	0	0.000263167	0	0	0	0.000143703	7.55344e-05	0	0	6.8859e-05	0.000104473	0	0	0	0.000304411	2.63579e-05	0	0	1.80392e-05	0	8.19639e-05	3.08964e-05	4.34287e-05	0	2.45687e-05	6.58124e-05	0	2.32513e-05	0	0	0	6.84197e-05	0	0.000135809	0	0	0	7.5206e-05	0	0	0	0	3.63866e-05	0.000933563
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83251e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000112006	0	3.54867e-05	1.97797e-05	0	0.000321208	0	0	0	0	1.25454e-05	0.0002302	5.6101e-05	0	0	0	0	7.18703e-05	6.75261e-05	0	0	0	0	0	0	0	0	2.171e-05	0	3.04459e-05	0	0	0	0.000209643	0	0	0	0	0	0	0	3.64415e-05	8.24237e-05	0	0	0	0.000245316	0	0	0	9.49052e-06	0	6.89634e-05	2.10454e-05	2.77311e-05	0	0	4.95365e-05	0	1.72983e-05	0	0	0	5.74224e-05	0	5.77654e-05	0	0	0	6.72622e-05	0	0	0	0	2.90394e-05	0.000829664
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00020469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	0.000506824	0.00086276	0.00168567	0	0.000418571	0	0.000441725	0.000376216	0.000133872	0.000359635	0.000455803	0.00103332	0.000855867	0.00108461	0.000246579	0.000769597	0.000612525	0.000623625	0.000559607	0.00105411	0.000605388	0.000560419	0.000746135	0.000662303	0	0.000259262	0.00046219	0.000815033	0.00253371	0.0006174	0	0.000356897	0.00113832	8.62856e-05	0.00192655	0	0.000398573	0	0.00052958	0.000929498	0.000420029	0.000561441	0.000215458	0.00087047	0.000875194	0.000332862	0.0013253	0.00133597	0.00129735	0.000987535	0.000732348	0.00104124	0.00137723	0.00256842	0.0012329	0.000837861	0.000508486	0	0.000355217	0.00165935	0.000823603	0.00068445	0.002666	0.00100913	0.00141944	0.000699909	0.0018074	0.000142223	0.001115	0.00352204	0	0.00181738	0.00099304	0	0.000262559	0.00155216	0.000721484	0.000568499	0.000761526	0.00113424	0.000285872	0.00109242	0.000635672	0.000250305	3.08784e-05	0.000280576	0.0010999	0.000619112	0.00127355	0.00126255	0.00120447	0.000846036	0.000140584	0.000937325	0.00159413	0.000857808	0.00128565	0.000484625	0.00113419	0.000934913	0.000637826	9.15235e-05	0.000624715	0.00129014	0.000814635	0.000791297	0.00115857	0.000770781	0.000685769	0.00070139	0.00110959	0.00159193	0.000805901	0.00140475	0.000710266	0	0.000373531	0.00268889
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff|g__Citrobacter.s__Citrobacter_freundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000718078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.58713e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.35328e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.47986e-05	0	0	0	0	0.000240511	0	0	0	0	0	0.00043006	0.000131153	0	0	0	0	7.67006e-05	6.35916e-05	0	0	0	0	0	0	0	0	4.77548e-05	0	3.00268e-05	0	0	0	0.000234571	0	0	0	0	0	0	0	0	0	0	0	0	0.000170893	0	0	0	0	0	7.21227e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00101135
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff|unclassified	0	0	0	0	0	0	0.000238748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000424951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000188681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
